report,relevant,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
BREAKING: EC has confirmed multimedia's prediction of JohnDramaniMahama winning the 2012 elections - JoyTV #ghanadecides http://t.co/8awv93YA,,Twitter,12/09/12 21:08,bomaye3,,,,,,
"@akwasisarpong Many polling stations at Teshie, Nungua, Baatsona are yet to start. Magterials arrive late, power has failed.#ghanadecides",Y,Twitter,12/07/12 9:50,AlexAdjeiBram,,,,,,
pls make sure your hands are properly washed to ensure easier verification by the devices #ghanaelections #ghanadecides,,Twitter,12/07/12 9:50,TechyAfrica,,,,,,
"""The #NPP should gather their grievances and deliberate within the limits of the law"" -Rev.Asante of NPC #ghanaelections #ghanadecides",,Twitter,12/09/12 21:10,IDEGGhana,,,,,,
JohnDramaniMahama officialy declared winner. #ghanadecides #ghanaelections,,Twitter,12/09/12 21:11,fredadjei,,,,,,
A lot of centers have not started voting yet - almost 3hrs through - electoral commission why? #GhanaDecides !,Y,Twitter,12/07/12 9:53,FabSeanJay,ignored,Voting yet to start in a number of centers,Delayed Logistics,yes,,find out the exact centers. Lost informant to confirm incident.
"Proceedings at Apostolic 1 polling center,Ashaiman constituency stalled; verification machine experiencing battery failure #GhanaDecides",Y,Twitter,12/07/12 9:57,NewsBytesNow,ignored,Biometric verification battery failure,Delayed Logistics,yes,Ashaiman Constituency Apostolic 1,"Biometric verification battery failure
-Pascal still needs more specific constituency data

Final Update: Lost informant to confirm incident. Message is too old to verify."
"#ElectionNuuz A man @ Offinso Polling Station caught pulling out 6 ballot papers from his pocket,ready to thumbprint.",Y,Twitter,12/07/12 9:57,opoowazy,ignored,Man caught pulling ballot papers to thumbprint,Election Irregularity,yes,Ofinso,A man was caught pulling 6 ballot papers from his pocket waiting to thumbprint. Lost informant to confirm incident.
"@NanaAkufo-Addo No EC Officials at New Oxford polling station,Amakom, Ksi.No electoral materials der almost hrs afta votin started.",Y,Twitter,12/07/12 9:55,nakruled,ignored,No EC Present,Election Irregularity,yes,"New Oxford polling station,Amakom, Ksi","No EC Officials at New Oxford polling station,Amakom, Ksi.No electoral materials der almost hrs afta votin started. Lost informant to confirm incident."
"""Peace is of prime importance to #Ghana and comes above results and pol. parties."" -Rev.Asante #ghanadecides #ghanaelections",,Twitter,12/09/12 21:12,IDEGGhana,,,,,,
Now that #EC has declared the result let me congratulate the Pres. #Johnthe4th on his victory @JohnDramaniMahama #ghanaelections2012 #ghanadecides,,Twitter,12/09/12 21:14,thePOEET,,,,,,
"""@FabSeanJay: A lot of centers have not started voting yet - almost 3hrs through - electoral commission why? #GhanaDecides !""",Y,Twitter,12/07/12 9:56,Quame7,,,,,,
"Please calm down. RT @Quame7: ""@FabSeanJay: A lot of centers have not started voting yet - almost 3hrs through - EC why? #GhanaDecides !""",Y,Twitter,12/07/12 9:56,Chxta,,,,,,
79% turnout in peaceful and democratic #ghanadecides elections. Wonder what know-it-all western pundits will make of it?m,,Twitter,12/09/12 21:17,Msuwonkunda,,,,,,
Voters patiently waiting for the polls to open #ghanadecides #ghana #elections http://t.co/xfibb3kI,,Twitter,12/07/12 9:58,FDAfrica,,,,,,
People nabbed for trying to steal ballot boxes in Kumasi. Is this the free and fair elections @JohnDramaniMahama promised??,Y,Twitter,12/07/12 10:00,Pimp_Fada,,,,,,
"Lets remb RT@IDEGGhana: ""Peace is of prime importance to #Ghana and comes above results and pol. parties."" -Rev.Asante  #ghanaelections",,Twitter,12/09/12 21:22,edengeneet,,,,,,
"RT @NewsBytesNow: Proceedings at Apostolic 1 polling center,Ashaiman constituency stalled; verification machine experiencing battery fai ...",Y,Twitter,12/07/12 10:02,mathapoly,,,,,,
Naa I still dey room. RT @_Guyolla: u done voting ?? @chillz_maniac #ghanadecides #elections #Ghana,,Twitter,12/07/12 10:03,chillz_maniac,,,,,,
@readJerome ur NDC hooligans are trying to steal ballot boxes in Kumasi. Thought @JohnDramaniMahama said this wouldn't happen,Y,Twitter,12/07/12 10:03,Pimp_Fada,,,,,,
"+1. This&gt;&gt; RT ""@googleafrica: A special doodle for today's elections in Ghana - get voting! #ghanadecides http://t.co/Y5pm2XNk""",,Twitter,12/07/12 10:04,Qaphui,,,,,,
"Proceedings at Apostolic 1 polling center,Ashaiman constituency stalled; verification machine experiencing battery failure #GhanaDecides""",Y,Twitter,12/07/12 10:06,Latyph27,,,,,,
Any moment now some pundits are going to refute these results from #ghanadecides elections. http://t.co/aQtuVmZ3,,Twitter,12/09/12 21:30,Msuwonkunda,,,,,,
Jst read that EC has confirmed multimedia's prediction of JohnDramaniMahama winning the 2012 elections - JoyTV #ghanadecides #ghanaelections,Y,Twitter,12/09/12 21:31,elpapiray,,,,,,
"Western pundits running their mouths on how results from the #ghanadecides elections were first announced on FB, 2 words: Obama. Twitter",,Twitter,12/09/12 21:33,Msuwonkunda,,,,,,
"I heard sum macho men r stealing ballot boxes at d Ablekuma north constituency, PLS #GHANA  LET PEACE RAIN...RT IF U LUV GHANA",Y,Twitter,12/07/12 10:12,acorlork,,,,,,
"John rawlings-volta,john agyekum-ashanti,john mills-central n now JohnDramaniMahama-northern region!!!!! Dese JOHNS",,Twitter,12/09/12 21:36,MzMenz,,,,,,
People have started stealing ballot boxes. Oh!Ghana,Y,Twitter,12/07/12 10:12,onua_zionfelix,,,,,,
"""votes can ONLY be recounted at the polling station"" Afari Gyan #npp #ndc #ghanadecides",,Twitter,12/09/12 21:37,missbusari,,,,,,
@thenanaaba stealn of ballot box at manhyia north..,Y,Twitter,12/07/12 10:22,NanaYawDanquah,ignored,Stealing ballot box,Party Thugs,yes,Menhyia North,"Stealing ballot box at Menhyia North

Final Update: Lost informant to confirm incident. Message is too old to verify."
ballot box stolen now now at tech. junctn. angola pollin statn. in kumasi..they are headin towards ejisu-accra road... Emma reportn,Y,Twitter,12/07/12 10:13,tweneboah_20,ignored,Ballot box stolen - False Information,Election Irregularity,yes,Tech Junction Kumasi,ballot box stolen now now at tech. junctn. angola pollin statn. in kumasi..they are headin towards ejisu-accra road
"""@Bra_Josef: ""@shambhala_bwoy: Eiiiiii prblm @ ashaiman""oh hoh""demma biometric machine no dey work",Y,Twitter,12/07/12 10:29,shambhala_bwoy,ignored,Verification machine failure,Election Irregularity,yes,Ashaiman,"Verification machine failure

Final Update: Lost informant to confirm incident. Message is too old to verify."
The people of mother Ghana are still waiting patiently for the electoral commission to declare the presidential result...,,Twitter,12/09/12 21:37,Onemdefo,,,,,,
"""@googleafrica: A special doodle for today's elections in Ghana - get voting! #ghanadecides http://t.co/3il05AXj""",,Twitter,12/07/12 10:14,kenyanpundit,,,,,,
What happened to all the fufu joints in Accra? Can't a brother indulge a bit in carbo because of elections? #ghanadecides,,Twitter,12/07/12 10:17,OtiAdjei,,,,,,
Declaration of the results by the electoral commissioner.#ghanadecides,,Twitter,12/09/12 21:45,blakkELITE,,,,,,
"NPP RT ""@Nanaakuapromzy: Eh people have started stealing ballot boxes""",Y,Twitter,12/07/12 10:20,ghjerrydear,,,,,,
"Oh finally, the #EC, #Afari-Gyan has taken the podium, about to address #ghanadecides #ghanaelections",,Twitter,12/09/12 21:48,IDEGGhana,,,,,,
Hehe RT @OtiAdjei: What happened to all the fufu joints in Accra? Can't a brother indulge a bit in carbo because of elections? #ghanadecides,,Twitter,12/07/12 10:21,nabrew,,,,,,
"How to vote wisely,peacefully and maturely http://t.co/yZ4Hh4IS #elections2012 #ghanadecides #letsVote #ghana #peace",,Twitter,12/07/12 10:21,Naa_Achere,,,,,,
Who won Ghana's presidential election? EC Chairman to anounce it in a few minutes. #ghanaelections,,Twitter,12/09/12 21:49,MsAbenaAnnan,,,,,,
@newsontv3 electricity was just restored in the northern regional capital Tamale andwe need a report about that because we were assured no,Y,Twitter,12/07/12 10:22,RexisEl,,,,,,
http://t.co/7J9y368g via A special doodle for today's elections in Ghana - get voting! #ghanadecides  #GHDTag #speakGhana,,Twitter,12/07/12 10:25,fordcom2002,,,,,,
I called #ghanaelections winner based on my algorithm before EC managed to even calculate the entire votes. #ghanadecides,,Twitter,12/09/12 21:55,EdwardOhenebeng,,,,,,
#AfariGyan of #EC confirmed their facebook post of certified results #ghanadecides #ghanaelections,Y,Twitter,12/09/12 21:55,IDEGGhana,,,,,,
So ndc stealing ballot boxes at ablekuma already? ?,Y,Twitter,12/07/12 10:30,Mr_JayVeeOo_LTL,,,,,,
"""@shambhala_bwoy: ""@Bra_Josef: ""@shambhala_bwoy: Eiiiiii prblm @ ashaiman""oh hoh""demma biometric machine no dey work""waa look at dat",Y,Twitter,12/07/12 10:32,Bra_Josef,,,,,,
"@AJEnglish #ghvotes people are stealing ballot boxes in some parts of Kumasi, the opposition strong hold...the police shd be on the alert",Y,Twitter,12/07/12 10:33,kwasiagyei,,,,,,
"based on the results given I declare @JohnDramaniMahama president elect - EC Chairman, Dr Afrai Gyan #ghanaelections",,Twitter,12/09/12 21:57,ghanaelections,,,,,,
how come #ghanaelections and #ghanadecides is still not trending...,,Twitter,12/07/12 10:33,AfricaJerry,,,,,,
"@Citi973 #ghvotes people are stealing ballot boxes in some parts of Kumasi, the opposition strong hold...the police shd be on the alert",Y,Twitter,12/07/12 10:34,kwasiagyei,,,,,,
A boy arrested @ odododiodoo 4 registering twice,Y,Twitter,12/07/12 10:34,ATMawuli,ignored,Double registration,Fraud,yes,Odododiodoo,"Boy arrested for registering twice

Final Update: Lost informant to confirm incident. Message is too old to verify."
Confusion at Calvary School Polling Station at Teshie because electoral materials have not yet arrived. #ghanadecides,Y,Twitter,12/07/12 10:45,Abumubarik,ignored,Delay of Electoral materials,Election Irregularity,yes,Calvary School Polling Station at Teshie ,"Delay of electoral materials

Final Update: Lost informant to confirm incident. Message is too old to verify."
"RT @Abumubarik: Fire outbreak at Caprice in Accra, disrupted voting briefly. #ghanadecides",Y,Twitter,12/07/12 10:49,trotromate,ignored,Fire out break,,yes,Caprice Accra,"Fire out break disrupts voting at  Caprice Accra

Final Update: Lost informant to confirm incident. Message is too old to verify."
The Apostolic 1 polling center at the Ashaiman constituency has been  stalled as the verification machine is experiencing battery failure.,Y,mapping ,12/07/12 9:38,,,,,,,
BREAKING NEWS: #Johnthe4th of the #NDC is the president elect. @JohnDramaniMahama #ghanaelections2012 #ghanadecides #ghana,,Twitter,12/09/12 21:58,thePOEET,,,,,,
"@NPP_official #ghvotes people are stealing ballot boxes in some parts of Kumasi, the opposition strong hold...the police shd be on the alert",Y,Twitter,12/07/12 10:37,kwasiagyei,,,,,,
People have started attributing the electoral commissions shortfalls to political reasons. Eii #ghana. #ghanadecides,,Twitter,12/07/12 10:40,Blaqman_nate,,,,,,
"If u ppl claim NDC cars are going round stealing ballot boxes in the Ashanti Region, then u all aint shit! An NPP stronghold???",Y,Twitter,12/07/12 10:41,trotromate,,,,,,
For all our polling station pictures please go to --&gt; http://t.co/jEMbXftX #ghanaelections #ghanadecides,,Twitter,12/07/12 10:41,IDEGGhana,,,,,,
"The results were really close, and I hope the NPP candidate can be gracious in defeat #ghanaelections2012",,Twitter,12/09/12 22:05,reniceblue,,,,,,
"Fire outbreak at Caprice in Accra, disrupted voting briefly. #ghanadecides",Y,Twitter,12/07/12 10:48,Abumubarik,,,,,,
"""@ghanaelections: based on the results given I declare @JohnDramaniMahama president elect - EC Chairman, Dr Afrai Gyan #ghanaelections""",,Twitter,12/09/12 21:57,danny_billz,,,,,,
its only eastern and ashanti regions that they are doing this.. if ur not scared of losing y do u do dis... Shame on NDC... maka aa maka!!,,Twitter,12/07/12 10:51,qweku1on1,,,,,,
NDC u cn continue stealing ballot boxes....buh u will still go down,Y,Twitter,12/07/12 10:51,StiCky_daGenius,,,,,,
"oh chale..ma hood that oooo RT @Abumubarik: Fire outbreak at Caprice in Accra, disrupted voting briefly. #ghanadecides",Y,Twitter,12/07/12 10:52,tw3demovic,,,,,,
"If u c a Kumasi person near a ballot box, b watchful... They are known to b stealing ballot boxes...",Y,Twitter,12/07/12 10:52,kdati,,,,,,
some polling stations be dry papa (from koforidua to tema) @ghanadecides,,Twitter,12/07/12 10:52,donscraper,,,,,,
"Kumasi Wake Up! What's happening here,attempting n stealing ballot boxes @ pulling Stations.it shall all be in Vain.",Y,Twitter,12/07/12 10:53,DemundSpence,,,,,,
NanaAkufo-Addo at his polling station at kyebi #ghanadecides,,Twitter,12/07/12 10:53,mathapoly,,,,,,
some polling stations be cool. plastic chairs and all. @ghanadecides,,Twitter,12/07/12 10:55,donscraper,,,,,,
"seriously, joy fm how? @ghanadecides @ghanaelections @joyonlineghana @bbcafrica http://t.co/tq81YNcP",,Twitter,12/07/12 10:55,sunselsr,,,,,,
"""@kdati: If u c a Kumasi person near a ballot box, b watchful... They are known to b stealing ballot boxes...""/ u r bigger than dis :(",Y,Twitter,12/07/12 10:54,Jefrijay,,,,,,
People of Ghana has spoken!! Power in the THUMB #ghanaelections #ghanadecides #onedirection,,Twitter,12/09/12 22:11,EdwardOhenebeng,,,,,,
Voting at La Joshua Polling Station in the La Dade Kotopon stalls because Biometric registration machine has broken down. #ghanadecides,Y,Twitter,12/07/12 10:56,Abumubarik,,,,,,
So nÃ¸ ballot box has nÃ¸t be stolen in the Volta region yet? Cpp is doin the ballot box stealing then,Y,Twitter,12/07/12 10:56,Baba_Yara,,,,,,
#photography #ghanadecides2012 #ghana #elections #peace http://t.co/rYpKDyos,,Twitter,12/07/12 10:57,kwabenad1,,,,,,
"People are stealing ballot boxes and the verification machine isn't functioning properly. Only in Ghana, I tell you. Only in Ghana.",Y,Twitter,12/07/12 10:57,_ABC_XYZ,,,,,,
"#letsvote RT ""@googleafrica: A special doodle for today's elections in Ghana - get voting! #ghanadecides http://t.co/sqU6vmBH",,Twitter,12/07/12 10:59,Abocco,,,,,,
â€œ@ghanaelections: Metro TV reports that a double registration offender has been nabbed.â€ #GhanaDecides #Ghanaelections,Y,Twitter,12/07/12 10:59,eric_hackman,,,,,,
Ghana voted NO to free School policies. What do they really want? #ghanaelections #ghanadecides #onedirection Knowledge is power!,,Twitter,12/09/12 22:15,EdwardOhenebeng,,,,,,
#ghanadecides2012 #ghana #photography #peace #elections http://t.co/HY2nkEeF,,Twitter,12/07/12 11:00,kwabenad1,,,,,,
EC official arrested 4 failing 2 stamp ballot papers b4 giving em 2 voters @ Ayigya in Manhyia.200 ballots unstamped were cast.#ghanadecides,Y,Twitter,12/07/12 11:01,Abumubarik,,,,,,
â€œ@GhanaDecides: CODEO will make public Its PVT results after the EC declares the official results #CODEO #ghanaelections,,Twitter,12/09/12 15:24,Africanelection,,,,,,
@NanaAkufo-Addo just cast his ballot #ghanadecides #ghanaelections,,Twitter,12/07/12 11:01,ClaudeAyitey,,,,,,
#ghanadecides2012 #ghana #elections #photography #peace http://t.co/bl5i0Mfh,,Twitter,12/07/12 11:03,kwabenad1,,,,,,
"@konkrumah Kojo, if old women arrive at 5am just to vote for a politician, why do they still disappoint us? #ghanadecides #ghanaelections",,Twitter,12/07/12 11:05,ClaudeAyitey,,,,,,
"Governance watcher, Baffour Agyemang-Duah expresses worry that elections will delay by as much as two hours. #ghanadecides",,Twitter,12/07/12 11:05,Abumubarik,,,,,,
"A ballot box snatched in kumasi? Hmmmm we are watching ,the lord is working .. @NanaAkufo-Addo is wining..the battle is the lord's",,Twitter,12/07/12 11:07,oseipoku12,,,,,,
Aww my poor Ashanti &amp; eastern region ppl. Y'all had no support from the other 8 regions. Whatta sadness Loool,,Twitter,12/09/12 22:22,VirtuousAbee,,,,,,
http://t.co/7HLMR2Jy #ghanaelections 2012 final results by #ghana Electoral Commission showing #NDC @JohnDramaniMahama as winner @Africanelection,,Ghana Votes Facebook,12/09/12 22:23,Ghana Votes,,,,,,
RISE AND SHINE MY PEOPLE!!! GET YOUR VOTE ON!!! http://t.co/1svDepP3 #ghanadecides #ghvotes #ghanaelections @bbckomladumor @Citifmonline,,Twitter,12/07/12 11:13,saarahadu,,,,,,
"Stop this!!u are an educated fellow!""@StiCky_daGenius: NDC u cn continue stealing ballot boxes....buh u will still go down""",Y,Twitter,12/07/12 11:15,iAm_CyRil233,,,,,,
ff  @bobpixel: for some elections photos. http://t.co/SAEMrBT2 #ghanadecides,,Twitter,12/07/12 11:17,KwameAnim,,,,,,
its your right to vote but your responsibilty to maintain peace #ghanadecides#africanelections#ghanavotes,,Twitter,12/07/12 11:17,windowtograce,,,,,,
Ballot boxes arrive late at some polling stations causing delays to start of voting process. #ghanadecides,Y,Twitter,12/07/12 11:18,silverscholar,,,,,,
"Voting is underway @ most polling stations in e Dome-Kwabenya constituency of the Greater Accra region, after an initial delay #ghanadecides",Y,Twitter,12/07/12 11:19,Abumubarik,,,,,,
"Long queues of voters have formed elections in #Ghana, seen as a model for democracy in #Africa http://t.co/YzNQlvq5 #ghanadecides",,Twitter,12/07/12 11:19,Africathinker,,,,,,
Download @jangbeeshi mobile app for #GhanaElections http://t.co/gv2E289j #ghanavotes #ghanadecides pls RT @MacJordaN @ghanaelections,,Twitter,12/07/12 11:20,EmekaOkoye,,,,,,
President arrives at the Wa Strip to vote. #ghanadecides #ghanaelections #letsvote #elections,,Twitter,12/07/12 11:21,ClaudeAyitey,,,,,,
"We demand that the EC conducts an audit of the collated figures as well as the counts from the biometric verification machines before the electoral results are finally released.

The No Verification, No Vote, rule was also blatantly defied in several places, especially in the Upper West, Upper East and Volta Regions.",Y,Nana Akufo Addo Facebook,12/09/12 15:32,Nana Addo Dankwa Akufo-Addo,,,,,,
@kwamepocho congrats #iVoted #ghanadecides #ghanaelections,,Twitter,12/07/12 11:23,eric_hackman,,,,,,
so in da 3 northern regions both NPP&amp;NDC supporters re jubilating...#onepeople,,Twitter,12/09/12 22:30,Nahdeeya,,,,,,
"About 4000 #security agents to man #ghana elections, what a smaller #democracy !!!  #Nigeria. #ghanadecides",,Twitter,12/07/12 11:25,Fawaz2000,,,,,,
hearing reports that a ballot box has been stolen in the ablekuma constituency... is this true? #ghanadecides,Y,Twitter,12/07/12 11:38,woenam,ignored,STOLEN BALLOT BOX,Ballot Snatching,yes,ablekuma constituency.," ballot box has been stolen in the ablekuma constituency.

Final Update: Lost informant to confirm incident. Message is too old to verify."
E.C please fix these problems. Why a delay cos materials are not at the venues yet? #monitoringGhProgress #ghanadecides,Y,Twitter,12/07/12 11:28,kwahmi,,,,,,
@iq4news: All 200 voters vote at church of christ polling station. #capecoast #ghanadecides,,Twitter,12/07/12 11:31,kofiemeritus,,,,,,
"""@kdati: If u c a Kumasi person near a ballot box, b watchful... They are known to b stealing ballot boxes...""/mtcheeeeeeeeew",Y,Twitter,12/07/12 11:34,Ladykua,,,,,,
So far results indicates that NDC have a comfortable majority in Parliament - Gen Mosquito #ghanadecides #ghanaelections,,Twitter,12/09/12 15:37,bigxghdotcom,,,,,,
"""RT @TheEyevan: I just found out the NDC candidate for my constituency. I no see am before"" #ghanadecides #ghanaelections",,Twitter,12/07/12 11:38,ClaudeAyitey,,,,,,
Every site is down. #ghanadecides #electionresults #ghanaelectoralcommission,Y,Twitter,12/09/12 15:37,natural_toffee,,,,,,
Voting in Prampram is underway all all polling stations with long queues. #ghanadecides,Y,Twitter,12/07/12 11:40,Abumubarik,,,,,,
"""People have time to vote, there is no need to rush"" -Akwetey on #CitiFM on #Ghana #elections2012 #ghanadecides",,Twitter,12/07/12 11:41,IDEGGhana,,,,,,
Am a self appointed EC official moving from one polling station to the other next stop christain service uni. #ghanadecides,Y,Twitter,12/07/12 11:42,appenteng1,,,,,,
