report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
"(not verified) 31st December day care polling station, Takoradi:JM NDC=407, Nana Adoo-ADDO=1129. #ghanadecides #exitpolls",Twitter,12/7/2012 18:30,Abumubarik,,,,,,
Npp are leading in both prez and parliamentary votes in achiase in the eastern region,Twitter,12/7/2012 19:23,Jesimo_uni,,,,,,
Peaceful elections is when you freaking beat people for trying to steal ballot boxes...ghana all the way!,Twitter,12/7/2012 19:24,am_Huuhh,,,,,,
"America Hse polling station. NPP 5437, NDC 1089, PPP 306, the rest 0 #ghanadecides",Twitter,12/7/2012 18:51,zionfelixdottk,,,,,,
Gotta finish my assignment. Life continues after elections #ghanadecides #OFFTHIS,Twitter,12/7/2012 19:25,ClaudeAyitey,,,,,,
#UN Nuclear plants near the region that was hit by a 7.3 magnitude earthquake off the eastern coast of Jap... http://t.co/Fsev6Vfs #Asia,Twitter,12/7/2012 19:26,kamaluf,,,,,,
#UN Nuclear plants near the region that was hit by a 7.3 magnitude earthquake off the eastern coast of Jap... http://t.co/olNK48vS #Asia,Twitter,12/7/2012 19:26,Zalimteacher,,,,,,
Ladies and gentlemen meet Mr. John NanaAkufo-Addo of Mamobi - Accra ... :) #ghanadecides #ghanaelections http://t.co/WdRf4RpQ,Twitter,12/9/2012 19:01,zionfelixdottk,,,,,,
@andowusu_ag U b Ashanti man datz y...u guyzz are just stealing the ballot boxes!!!,Twitter,12/7/2012 19:29,aminunazir1,,,,yes,,
Results trooping in as usual #ghanadecides #ghanaelections,Twitter,12/7/2012 19:32,Enock4seth,,,,,,
"ADJOURNMENT OF POLL AT POLLING STATIONS WHERE BIOMETRIC VERIFICATION OF VOTERS COULD NOT BE   COMPLETED.

The Electoral Commission directs as follows;

(1) At polling stations where the biometric verification of voters could not be completed  and as a result  some voters in the queue could not be processed to vote,

(2) Where election materials arrived very late that all the voters in the queue could not be processed to vote,
polling should continue tomorrow, Saturday 8th December, 2012 to give the opportunity to the affected persons to vote.

Where the poll is adjourned to a new date shall be taken from 7:00am to 5:00pm.
Presiding Officers should arrange with the police for the safe custody of all ballot boxes and election materials.



  K. SARFO-KANTANKA
  DEPUTY CHAIRMAN (OPERATIONS)",Electoral Commission Facebook,12/7/2012 19:35,Electoral Commission of Ghana (E.C),,,,,,
who keeps the ballot of the adjourned areas becoming an issue! #ghanaelections2012 #ghanadecides #ghana,Twitter,12/7/2012 19:38,thePOEET,,,,,,
Counting ended at my polling station. #ivoted #ghanadecides #ghana http://t.co/a0LPVkGa,Twitter,12/7/2012 19:40,KwameAnim,,,,,,
@leonicool @andowusu_ag Andrews hometown (Ashanti region )are just stealing the ballot box,Twitter,12/7/2012 19:40,aminunazir1,,,,,,
"Apparently, voting will continue at some places tomorrow. #ghanadecides #ghanaelections",Twitter,12/7/2012 18:14,ClaudeAyitey,,,,,,
"NPP CHAIRMAN CALLS FOR RESPECT OF THE LAW

The Chairman of the New Patriotic Party, Jake Obetsebi-Lamptey, has asked Ghana and all institutions involved in the conduct of the 2012 elections as well as the political parties to respect the electoral laws governing this election.

The NPP sympathises with Ghana who have been on their feet, in some instances, for over 11 hours and yet have been disappointed because they could not vote.

The NPP understands that the EC is preparing to continue the process tomorrow and that areas where voting was stopped due to a lack of functional verification machines will vote tomorrow. In such areas, the process, according to the law must be:

1.      COUNT the votes already deposited in the ballot box by biometrically verified voters
2.      RECORD the votes counted
3.      SEAL the ballot box (done by representatives of all parties)

The remaining votes unable to be cast because of verification machine issues will be cast beginning on Saturday morning.  Note that this process of COUNT, RECORD, SEAL only applies to polling stations in which machines failed to function.  In polling places with functioning machines, voting must continue on Friday until all voters who had queued before 5:00 pm have cast their votes.

We further call upon all members of the security services to discharge their duties with integrity, in order to preserve a legal and legitimate election according to the COUNT, RECORD, SEAL process.  If the COUNT, RECORD, SEAL process is not followed, we may seek to annul the results of the votes already cast, and to hold fresh elections.

It is a proud tradition that in every successive Ghanaian election, we strengthen the electoral system and therefore we believe Ghana will bear the inconvenience of continuing to vote tomorrow, rather than open this election to manipulation and in the process destroy the legitimacy we seek as a society.

Ghana is at an important crossroads. NPP urges Ghana to support the EC to deliver a clean, free, fair and legitimate election.

......signed......
Jake Obetsebi Lamptey
NPP National Chairman",Nana Akufo Addo Facebook,12/7/2012 19:40,Nana Addo Dankwa Akufo-Addo,,,,,,
The #Ghana election results are trickling in. Monitor with @jangbeeshi mobile app's Feed module. http://t.co/gv2E289j @ghanaelections #fb,Twitter,12/7/2012 18:04,EmekaOkoye,,,,,,
Electoral Commission has just announced that voting will continue tomorrow in areas where people could not vote. #ghanadecides,Twitter,12/7/2012 18:14,obaasima,,,,,,
So what we placed so much faith in machines for elections we did not make back up plans? #ghanadecides,Twitter,12/7/2012 19:13,OtiAdjei,,,,,,
Leaked Conversation between EC Commissioner and Candidates on whatsapp #ghanadecides #ghanaelections http://t.co/HBmf5qyP,Twitter,12/9/2012 19:12,bigxghdotcom,,,,,,
@Citi973 @Citifmonline this is PROVISIONAL POLLING STATION RESULTS not CONSTITUENCY RESULTS pls correct #ghanaelections #ghanadecides,Twitter,12/7/2012 19:43,ghanaelections,,,,,,
"St Anne's polling station, Ash Town A/R  NPP; 1072 NDC 70 #ghanadecides",Twitter,12/7/2012 19:45,Abumubarik,,,,,,
"Alleged PDP man Caught trying to steal ballot boxes in Ghana  http://t.co/Ug5R7wrv""",Twitter,12/7/2012 19:30,MrEazi,,,,,,
EC must Tell us...wld results be announced at coalition centers if som polling stations cld nt finish voting? #ghanadecides,Twitter,12/7/2012 19:46,Paapakwame,,,,,,
@nanaYaaHoney hahahahaha ah well If NPP wins in accra and central region its over for NDC. ashanti and eastern region wont do,Twitter,12/7/2012 18:15,Kube15,,,,,,
@iq4news: vote counting has ended at Amamoma school park polling station. #ghanadecides,Twitter,12/7/2012 17:56,kofiemeritus,,,,,,
"If the EC has used an #iPad or #iPadMini, this wouldn't hv been a problem. iWish #ghanaelections #ghanadecides #ghvotes #letsvote #elections",Twitter,12/7/2012 19:06,ClaudeAyitey,,,,,,
@EastAnglear everywhere in eastern region is a horrible journey the london comrades dont understand waht we have to dael with lol,Twitter,12/7/2012 19:48,markwrightuk88,,,,,,
hahah imagine if npp gets more votes in  volta and northern region...haha that will be hard to believe..but anythn is possible,Twitter,12/7/2012 18:49,Jennifer_rockz,,,,,,
we never had adjourned voting with the good old voter ID cards #ghanadecides #ghanaelections2012 #ghana #NPP #NDC,Twitter,12/7/2012 19:29,thePOEET,,,,,,
EC says those who cld not vote due to faulty machines wld vote tomorrow #ghanadecides #election2012,Twitter,12/7/2012 18:12,Paapakwame,,,,,,
"So if all these voters go to this extent just to vote, why do politicians still disappoint us and misbehave? #ghanadecides #ghanaelections",Twitter,12/7/2012 19:50,ClaudeAyitey,,,,,,
"Ah ah ah, polling station di33 RT @brownsugargh I like this --&gt; RT @nysv: RT @omgGhanaDotCom: OWASS Mango Tree NPP; 327 NDC 8 #ghanadecides",Twitter,12/7/2012 19:51,k_asante10,,,,,,
EC has given an official press release! Voting wld continue in places wer machines broke down! #ghanadecides #elections2012,Twitter,12/7/2012 19:00,Paapakwame,,,,,,
ablekuma south constituency(Hamsted Preparatory skul pollin centre presidential provisional npp-204 ndc-339... http://t.co/RGD7UXjI,Twitter,12/7/2012 19:04,omgGhanaDotCom,,,,,,
"Wow polling station results coming thru r very funny....lol.... CPP, PPP, UFP, GCPP, PNC all getting ZERO! #ghanadecides #elections2012",Twitter,12/7/2012 18:34,Paapakwame,,,,,,
so what stops us from counting the ballots of the adjourned areas? #ghanaelections2012 #ghanadecides #ghvotes,Twitter,12/7/2012 19:56,thePOEET,,,,,,
RT @aminunazir1: @leonicool @andowusu_ag Andrews hometown (Ashanti region )are just stealing the ballot box,Twitter,12/7/2012 20:04,Leonicool,ignored, (Ashanti region )are just stealing the ballot box ,Ballot Snatching,yes,Kumasi,"A tweet just coming in reporting stealing of ballot boxes in Ashanti Region
checked conversation . was just a chat between two friends
9:02
linda"
"JohnDramaniMahama brother has been captured at Golden tulip Kumasi, he is now at central police station@Papa_Armstrong @kofigameli",Twitter,12/7/2012 20:03,equitygideon,ignored,Police Capture brother of President John Mahama,Election Irregularity,yes,Kumasi,"John mahama brother has been captured at Golden tulip Kumasi, he is now at central police station.

The tweet said he had ballot boxes in his car.

Please I haven't been able to confirm it. So place some calls and work on it for me.

http://www.facebook.com/triggmani/posts/4640439861596?comment_id=4918774&notif_t=feed_comment_reply

Time: 8:45
Osborn

Juliet 9:04 PM - Jerry contacted and finds incident to be false"
watching from afar: so how many precincts will continue voting tomorrow? Big percentage? #ghanadecides #ghvotes,Twitter,12/7/2012 19:57,HansGutbrod,,,,,,
Cant believe people still attempted stealing ballot boxes.#kumasi you can do better.,Twitter,12/7/2012 19:12,hiannetteo,,,,,,
EC may be gettng sued in court oo if dey postponed da election! #ghanadecides #elections2012 Wer ma lawyers AT! @mZ_NAGS,Twitter,12/7/2012 18:47,Paapakwame,,,,,,
"Lets not kid ourselves, these verifying machines failure will pose a huge challenge after the elections #ghanadecides",Twitter,12/7/2012 18:05,DreamChaserrr__,,,,,,
@omgGhanaDotCom is doing an incredible JOB! Bigups! #ghanadecides #elections2012,Twitter,12/7/2012 19:59,Paapakwame,,,,,,
"It's time #Ghana take notice of #pollster #BenEphson, and give his due. been proven right once again. #ghanaelections2012 #ghanadecides",Twitter,12/9/2012 19:32,thePOEET,,,,,,
"Wow! 5.6 earthquake eastern New Guinea region, Papua New Guinea - USGS link: http://t.co/UJUhibqo #quake",Twitter,12/7/2012 20:03,omgearthquake,,,,,,
The vote being adjourned - what an anti-climax! But we can wait a 24 more hours for results. http://t.co/TKEl0psy #ghanadecides,Twitter,12/7/2012 20:03,kajsaha,,,,,,
"Earthquake of M 5.6 is detected in eastern New Guinea region, Papua New Guinea on Fri, 07 Dec 2012 19:50:21 GMT",Twitter,12/7/2012 20:03,burontimus,,,,,,
2012 12 07 13:03:45: Displaying a recent earthquake near eastern New Guinea region of magnitude: 5.6,Twitter,12/7/2012 20:03,LeoArtwall,,,,,,
"#earthquake M 5.6, eastern New Guinea region, Papua New Guinea http://t.co/G3GPZ3fV #crisismanagement",Twitter,12/7/2012 20:04,gcmcEarthquake,,,,,,
"Earthquake detected: M 5.6, eastern New Guinea region, Papua New Guinea http://t.co/QCzJEZ1C #fb",Twitter,12/7/2012 20:04,HarlowWeather,,,,,,
@TheRevAl In Ghana they have voted today in their democratic election for president and 275Constituencies seats in Parliament some voting problems occured,Twitter,12/7/2012 20:04,jmainne,,,,,,
"#GhanaDecides ""@akwasisarpong: #Ghana election: Breaking! Voting tomorrow..in areas where the biometric verification machine did not work""",Twitter,12/7/2012 18:48,Delalorm,,,,,,
JohnDramaniMahama's brother's been arrested at Golden Tulip kumasi. He's been taken to the central police station- eye witness report,Twitter,12/7/2012 20:05,chillz_maniac,,,,,,
"#earthquake M 5.6, eastern New Guinea region, Papua New Guinea Dec  7, 2012 19:50:21 UTC http://t.co/7YfprvnD",Twitter,12/7/2012 20:06,earthquake,,,,,,
"""@Baby_Scratches: @Mr_grilz me to i dey chock ashanti then eastern region""eii boys",Twitter,12/7/2012 19:01,Mr_grilz,,,,,,
"#earthquake: At 7:50 PM UTC, in eastern New Guinea region there was a #seismic activity: M5.6, depth 118.90km http://t.co/NVThNbUi",Twitter,12/7/2012 20:10,HEWSweb,,,,,,
"counting underway at Takoradi, Type c polling station,voting still ongoing in some booths #ghanadecides",Twitter,12/7/2012 18:05,born2lead01,,,,,,
"RT @woodywood143: 5.6 Earthquake eastern New Guinea region, Papua New Guinea http://t.co/fMdB3sJc",Twitter,12/7/2012 20:10,BadMoon2013,,,,,,
"4rm da statics am getin Npp culd nt win in volta,upper east nd west region.how cm?",Twitter,12/9/2012 19:40,maryno13,,,,,,
ablekuma south constituency(Hamsted Preparatory skul pollin centre presidential provisional npp-204 ndc-339 http://t.co/ajDYl5Br,Twitter,12/7/2012 19:06,KwesiArter,,,,,,
"5.6 Earthquake eastern New Guinea region, Papua New Guinea http://t.co/fMdB3sJc",Twitter,12/7/2012 20:10,woodywood143,,,,,,
biometric verification challenges making it impossible for some polling stations to cast their votes. voting deferred in those centers.,Twitter,12/7/2012 20:13,ihalsey,ignored,Deferred votes due to faulty machines,Election Irregularity,,Not yet verified,"Just one tweet to that effect. Don't know how serious it is though.




Rashad.


No response to tweets after over 40 minutes
Samuel A."
Election results fraught with errors.......,Twitter,12/7/2012 20:14,Weezy_DOPE,workingonit,Issues with election result,Fraud,yes,,"He mentioned election results fraught with errors. Find out where this happened 
Kelldick."
Counting has begun in several polling stations across the country. #ghanadecides,Twitter,12/7/2012 18:13,newsontv3,,,,,,
#ghanaelections season of provisional results,Ghana Votes Facebook,12/7/2012 20:13,Ghana Votes,,,,,,
Dis country wud av cum to an end if d places dat av stil not voted were NPP strongholds bt dey r quiet bcos it is in the 3 northern regions.,Twitter,12/7/2012 18:31,obiMpenaAustine,,,,,,
"@ghanadecides *Pokuase Agric Qtrs,Trobo Amasaman Const. Verific machine broke down for almost 5hrs b4 arrival of new one @ 6pm.",Twitter,12/7/2012 20:15,swayekidd,,,,,,
"@ghanadecides *after 2hrs of voting, we were told process will continue tomorrow. Hundreds yet to vote",Twitter,12/7/2012 20:16,swayekidd,,,,,,
"Earthquake M 5.6, eastern New Guinea region, Papua New Guinea: December 07, 2012 19:50:21 GMTRT @Latestquake: Ea... http://t.co/GsRiV80c",Twitter,12/7/2012 20:20,EarthquakeTest,,,,,,
"Earthquake ! #Pasthour M 5.6, eastern New Guinea region, Papua New Guinea http://t.co/s6pkGFG8",Twitter,12/7/2012 20:17,QuakeSOS,,,,,,
Finally @Nii_logoligi decided #ghanadecides #ghanaelections,Twitter,12/7/2012 18:35,Nii_logoligi,,,,,,
why not calling spade a spade but a big spoon? must we always cajole pple when they lose elections lest they may cause mayhem? #ghanadecides,Twitter,12/9/2012 19:51,thePOEET,,,,,,
"[WATCH] New Msg, 5.6m EQ, -118.9km, eastern New Guinea region, Papua New Guinea, reported by USGS. http://t.co/GTz6dpbz #fb",Twitter,12/7/2012 20:17,disasteraware,,,,,,
"Npp I hype yuh aaaa,,plsss win for me God will mke yuh win.no mata da stealn of da ballot boxes. DaMN I lyk w@ am hearn",Twitter,12/7/2012 18:15,NanaPlastics,,,,,,
eih results are head serious #ghanadecides #ghanaelections,Twitter,12/7/2012 19:14,Enock4seth,,,,,,
Update from eastern region. Coming up soon #stillCounting #GHANADECIDES,Twitter,12/7/2012 18:34,bigxghdotcom,,,,,,
Neither can u subvrt God's decision. Npp didnt make those machines n who tld u northern region is Ndc's strong hold? U dnt noe u dey loss k3k3,All Die Be Die,12/7/2012 20:24,Hrh Nana Akua Addo,,,,,,
NDC's Elvis Afriyie Ankrah says the party is concerned about the challenges that the verification machines poses. #ghanadecides,Twitter,12/7/2012 19:12,newsontv3,,,,,,
meanwhile someone makes away with the verification machine at somewhere in tamale south,Twitter,12/7/2012 20:29,kwesi_asaregh,ignored,someone jolts with verification machine,Verification,yes,tamale south,"someone runs away with verification machine in tamale south

Lenny:

Amanda 9:05PM - tweeted back @GhanaSMTC no please, Lenny is responding

tweeted back, waiting for his reply. it could also mean that he's just not sure of the exact location. @ 9:11PM
at 11:25PM, still didn't get any reply. Lenny"
"Ho central constituency(church of christ polling station)NPP-51,NDC-601,CPP-2,PPP-3 THE REST NIL #ghanadecides",Twitter,12/7/2012 20:26,Abumubarik,,,,,,
#NDC guy killed for stealing ballot boxes smh what a #shame!!!,Twitter,12/7/2012 18:28,AfiaDuchess,,,,,,
"""It is time to return to your respective polling stations with lamps and lanterns to protect the vote you cast earlier 2day. "" #ghanadecides",Twitter,12/7/2012 18:12,ClaudeAyitey,,,,,,
Ei Niggas in Tamale!! Some nigga took the verification machine away!!! Now vote erh? LMAO dun play with those niggas #walaahi,Twitter,12/7/2012 20:30,kakra_,,,,,,
"Dat prsn fool waa,for wat?""@kwesi_asaregh: meanwhile someone makes away with the verification machine at somewhere in tamale south""",Twitter,12/7/2012 20:31,k_afriyie,,,,,,
somewhere in tamale south ndc 331 npp 51,Twitter,12/7/2012 20:33,kwesi_asaregh,,,,,,
Would it have been better to use biometric and voter ID side by side in hindsight? #ghanadecides #ghanaelections2012 #Ghana,Twitter,12/7/2012 19:14,thePOEET,,,,,,
IPS polling station b ndc 251 npp 297 #ghanadecides,Twitter,12/7/2012 19:29,Abumubarik,,,,,,
In which country did presidential &amp; parliamentary elections run into a 2nd day? Ghana. Hope there's no rig though. #ghvotes,Twitter,12/7/2012 20:37,ObAsareBaffour,,,,,,
"""@UberFacts: Today is National Cotton Candy Day!"" And Today is Voting Day In Ghana #ghanadecides #ghanaelections",Twitter,12/7/2012 20:42,ClaudeAyitey,,,,,,
"""@ameyaw112: As for me I think the verification machine is great. We just need to work on making it work better."" #ghanadecides",Twitter,12/7/2012 20:43,ClaudeAyitey,,,,,,
"I just dont get people who steal ballot boxes,I just dont! What happened to double voting?",Twitter,12/7/2012 20:44,CannyMcCoy,,,,,,
"All these small-small results on Twiiter do not mean much to me. At the end of the day, who won? #ghanadecides #ghanaelections",Twitter,12/7/2012 20:46,ClaudeAyitey,,,,,,
So sm pipo says they will not allow the ballot boxes to be taken away they will police it till mrg...the will of the pipo#ghanadecides!,Twitter,12/7/2012 20:57,ma_madjoa,,,,,,
"Magnitude 5.6 earthquake, eastern New Guinea region, Papua New Guinea | Quake Tracker http://t.co/4O2Ys1WH",Twitter,12/7/2012 21:02,QuakeTracker,,,,,,
"Magnitude 5.6 earthquake, eastern New Guinea region, Papua New Guinea: Earthquake Details This event has been r... http://t.co/YotrGWmt",Twitter,12/7/2012 21:02,QuakeTracker,,,,,,
"#Ghana After election riots in Kumasi, where biggest opposition is, attempts mad  to steal ballot boxes",Twitter,12/7/2012 21:04,PakeBeer,ignored,After elections riots in Kumasi,Ballot Snatching,yes,Kumasi,"tweet from Kumasi reporting of riots resulting from stealing of ballot boxes

Samuel Ako
Start Time - 09:15pm
End Time - 10:06pm  No response. Incident ignored

Delay in getting feedback
Osborn"
Niggas in my hood r w8tn 4 results 4rm the volta region b4 dey allow ours  to b countd. Gonna b a long nyt. Ndc has no vote here I suwear!!,Twitter,12/7/2012 21:19,miki_brix,ignored,Counting suspended till results from volta region declared,Results,yes,Not known,"People are waiting 

9:35pm

Osborn"
@GhanaDecides i personally have a problem with the idea that this is a fair election when results are being announced before some have voted,Twitter,12/7/2012 21:18,thebellower,ignored,Results declared announced before voting ,Election Irregularity,,Not kown,"I think this is weird 

21.36 Jamie - not relevant"
#Ghana election: Breaking News! Voting tomorrow..in areas where the biometric verification machine did not work... @bbcbreaking,Twitter,12/7/2012 21:05,MacGyamfi,,,,,,
so are the #NPP polling agents complicit in this supposed rigging at the polling centres? #ghanaelections2012 #ghanadecides @NanaAkufo-Addo,Twitter,12/9/2012 20:20,thePOEET,,,,,,
#ghanadecides #ghanaelections2012 the results are beginning to be interesting,Twitter,12/7/2012 21:08,snakuss,,,,yes,,
This biometric system may be a modern way of conducting elections but its not helped us this time at all... EC wasn't up to the task #Ghana,Twitter,12/7/2012 21:08,EkowMensah,,,,yes,,
"5.6 - eastern New Guinea region, Papua New Guinea #earthquake #ubAlert http://t.co/Y1wMFhvI",Twitter,12/7/2012 21:11,hollywoodtac,,,,,,
"5.6-magnitude quake hits eastern New Guinea region, Papua New Guinea: An earthquake measuring 5.6 on the Richter... http://t.co/Ll2aPGQL",Twitter,12/7/2012 21:14,ChinaDailyEU,,,,,,
"Statement of the EC on the voting situation at some polling centres:

ADJOURNMENT OF POLL AT POLLING STATIONS WHERE BIOMETRIC VERIFICATION OF VOTERS COULD NOT BE COMPLETED.

The Electoral Commission directs as follows;

(1) At polling stations where the biometric verification of voters could not be completed and as a result some voters in the queue could not be processed to vote,

(2) Where election materials arrived very late that all the voters in the queue could not be processed to vote,polling should continue tomorrow, Saturday 8th December, 2012 to give the opportunity to the affected persons to vote.

Presiding Officers should arrange with the police for the safe custody of all ballot boxes and election materials.

Signed
K. SARFO-KANTANKA
DEPUTY CHAIRMAN (OPERATIONS)",Ghana Decides Facebook,12/7/2012 21:17,Ghana Decides,,,,,,
"I dey here and it aint looking bad for #NPP RT @snypa_CFC: U niggas are writing off the 3 northern regions,,wait and see something",Twitter,12/7/2012 21:19,KwAmE_YoGhUrT,,,,,,
"RT @ChinaDailyEU: 5.6-magnitude quake hits eastern New Guinea region, Papua New Guinea: An earthquake measuring 5.6 on the Richter... ht ...",Twitter,12/7/2012 21:20,BusinessFirst7,,,,,,
few provisional results indicate a certain trend - new president imminent; other parties becoming irrelevant #ghanadecides #ghanaelections,Twitter,12/7/2012 21:27,francizwhite,,,,,,
Even Rejected Ballots Party is leading Ayariga. Such travesty! Lol smh #ghanadecides #ghanaelections,Twitter,12/7/2012 21:31,samess,,,,yes,,
But no shaking kwraa #NPP dey form @papa_armstrong @augustinebh61 @equitygideon @kofigameli,Twitter,12/7/2012 21:32,walisky20,,,,,,
Kokromoti power ooo power #ghanadecides #ghanaelections  #NPP #Nana @NanaAkufo-Addo,Twitter,12/7/2012 21:36,labsch,,,,,,
"rumours have it asawase, ejura, tamale central, ningo have all fallen #ghanadecides #ghanaelections",Twitter,12/7/2012 21:37,francizwhite,,,,,,
"Loool so u pple make hapi cos u hearin ashanti region.........the three northern region, plus volta",Twitter,12/7/2012 21:38,Elyzerh,,,,,,
RT @kakra_: Ei Niggas in Tamale!! Some nigga took the verification machine away!!! Now vote erh? LMAO dun play with those niggas #walaahi,Twitter,12/7/2012 21:41,KwAmE_YoGhUrT,resolved,Someone took verification machine,Verification,,Tamale,"21.48 Jamie - retweeted 8 times
Lenny @ 9:53
Got a similar report on Facebook that was not tracked on Aggie. the man was arrested as l heard and it happened at Filla FM polling station according to facebook report.

still waiting for the tweet reply though 

Amanda @ 10:15 - @GhanaSMTC no please, I heard it on Peace FM's coverage on the ballot counting. I think I remember hearing TAMALE CENTRAL tho.

Now need to verify with Peace FM -- contact Media 



Kwame says that no news as such has come to his media monitoring so far.- 10:57 (Joyce)
"
"""@opoowazy: #ElectionNuuz A 55yr old man caught for trying to vote twice at a polling station at Kumasi.... enim guasi nii. he shld b lashd",Twitter,12/7/2012 21:45,adwoadwommoh,ignored,Old man caught for trying to vote twice,Fraud,yes,Kumasi,"tweet about old man caught for voting twice

Seth
incident time: 21:45

Lenny: 10:06PM- sent a tweet, waiting for her reply. waited till 11:48PM but had no reply.
 "
VoteKast iOS app is live on the AppStore! #ghanadecides #ghvotes #ghanaelections http://t.co/OwjoNL3c,Twitter,12/7/2012 21:39,VoteKastGH,,,,,,
voting to continue tomorrow - they may not even matter at least in the case of presidential polls #ghanadecides #ghanaelections,Twitter,12/7/2012 21:42,francizwhite,,,,,,
may the sweetest lies win! this no be elections sheeesh #ghanadecides,Twitter,12/7/2012 21:42,kwahmi,,,,,,
"@aganamark not in my opinion, the dam is in the eastern region...not volta...that was the main reason he wanted it anyway",Twitter,12/7/2012 21:48,KBDanquah,,,,,,
Yh  bt sm foolish ppl too keep stealing ballot boxesRT @Miller_Millzz: @Creamy_hargy awwww Ghana!! Bt it's well!! atleast there's peace ryt?,Twitter,12/7/2012 21:49,Creamy_hargy,,,,,,
Rediscovering my hometown and I am glad to be in my second home up the mountains. Love #abetifi #easternregion #ghana,Twitter,12/7/2012 21:52,ragyare,,,,,,
BEWARE: some of the results on Facebook and twitter are false. #GHANADECIDES #ghanaelections #ghanavotes,Twitter,12/7/2012 21:53,danjoachim,,,,,,
NDC di3333 dey have started di3r fighting again......the NPP people of Odododiodio should be bold and fight back,Twitter,12/7/2012 21:53,Aaal_izz_well,,,,no,,
NPP Office @ Amasaman: Machomen invade premises and destroy properties alleging NPP is in possession of some ballot boxes,Twitter,12/7/2012 22:07,bigxghdotcom,resolved,Machomen cause voilence at NPP office ,Macho men,yes,Amasaman,"machomen attacking NPP offices in Amasaman..#GhanaDecides
@1_JustinAustin

Please work on it quickly

Seth
incident time: 22: 08

Joyce 22:10
According to Kwame, there is No record of such event.
Jerry to respond to me shortly on it.

"
RT @bigxghdotcom: NPP Office @ Amasaman: Machomen invade premises and destroy properties alleging NPP is in possession of some ballot boxes,Twitter,12/7/2012 22:08,Mz_Wraha,resolved,Machomen cause voilence at NPP office ,Macho men,,Amasaman,"machomen attacking NPP offices in Amasaman..#GhanaDecides
@1_JustinAustin

Please work on it quickly

Seth
incident time: 22: 08

Joyce 22:10
According to Kwame, there is No record of such event.
Jerry to respond to me shortly on it.

"
RT @Aaal_izz_well: NDC di3333 dey have started di3r fighting again......the NPP people of Odododiodio should be bold and fight back,Twitter,12/7/2012 22:05,BannermanH,ignored,Threat of Violence at Odododiodoo,Violence,yes,Odododiodoo,"Possible threat of violence.

Francis - 22:28

Osborn - 11:03

Osborn
10:30"
