report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,relevant
"We are wise and intelligent enough""@JEFFF_FREAK: Why dont npp fans steal ballot boxes in volta and northern""",Twitter,12/7/2012 17:11,DonClyt,,,,,,,
Vote counting has begun at Tema Comm 11 Sch complex polling station. Citizens filming the process. #ghanadecides http://t.co/i3y0kjjB,Twitter,12/7/2012 17:15,kajsaha,,,,,,,
#ghanaelections2012 Man beaten for allegedly trying to snatch ballot box http://t.co/5E1ulxjh #ghana #ghanadecides,Twitter,12/7/2012 17:16,thePOEET,,,,,,,Y
My experience of the #Ghana elections 2012 http://t.co/Zw4MntT2 #ghanadecides Copyright DJKobbie http://t.co/VUkez5q4,Twitter,12/7/2012 17:17,djkobbie,,,,,,,
Northern NDC holds press conference 2 register displeasure about broken down verification machines and problems with verifying #ghanadecides,Twitter,12/7/2012 17:19,readJerome,,,,,,,
Reports of broken down verification machines are alarming. How stringent was the testing of these machines...#ghanadecides,Twitter,12/7/2012 17:19,NahNah_Bee,,,,,,,
@thenanaaba counting start in abit in the eastern region to be specific vertinary department polling station,Twitter,12/7/2012 17:01,Lucky_Dolarz,,,,,,,
Polls just officially closed in Ghana even though majority of people in some areas have not voted yet as verification machines wont work.,Twitter,12/7/2012 17:14,citizenmensah,,,,,,,
@NanaAkufo-Addo has won!!!! Who is ben ephson? Did he envisage hitches in the northern and upper west regions?  #TeamAkuffoAddo JohnDramaniMahamamustgo #,Twitter,12/7/2012 17:11,onekepler,,,,,,,
"@GhanaVotes @ghanaelections #ghanadecides Ladies and Gentlemen, fellow Ghana, it is 5pm",Twitter,12/7/2012 17:01,eliskobah,,,,,,,
"RT @Igotoohard_8: Kings of eastern shore, region champs and state champsions..",Twitter,12/7/2012 17:18,k_hall77,,,,,,,
"So I finally got there, and guess who got my vote *winks* #ghanadecides #ghanaelections #ivoted #letsvote #ItsAWrap !!! http://t.co/kEbGwQXK",Twitter,12/7/2012 17:17,ClaudeAyitey,,,,,,,
the number of verified voters at the #Ho bankoe rc cathedral polling station is 419. no mischief intended. #ghanadecides #ivoted #volta,Twitter,12/7/2012 17:20,eli_aidam,,,,,,,
"KUMASI for u RT @lordtee: But those stealing the ballot boxes nu, what the fuck are they thinking? Almost all of 'em have been lynched.",Twitter,12/7/2012 17:21,qwasiMARIQUE,,,,,,,
"RT @qwasiMARIQUE: KUMASI for u RT @lordtee: But those stealing the ballot boxes nu, what the fuck are they thinking? Almost all of 'em h ...",Twitter,12/7/2012 17:25,SelfmadeGunZ,,,,,,,
"RT @Sidenotez: ""@watcher_porn: Sometimes you just have to put your own thumb in your #ass http://t.co/OgEeSYzP""",Twitter,12/7/2012 17:28,srezon1,,,,,,,
Y sum ppl tke dis elections personal so??meanwhile d MP's dema kiddies dey NY and tins dey pap...!!#ghanadecides,Twitter,12/7/2012 17:30,phreddi_1,,,,,,,
OMG finally made it safely to #ketusouth Aflao #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 17:30,Enock4seth,,,,,,,
#ghanadecides2012 #ghana #elections #photography #africa http://t.co/ELKuP2bo,Twitter,12/7/2012 17:34,kwabenad1,,,,,,,
Going back to ma polling station.....need to see everything fiilifili!! #ghanadecides,Twitter,12/7/2012 17:36,mzzaustin_,,,,,,,
"Dis biometric fin was totally useless.....if da verification machines r nt workin n no provisions were made,den we shd go bck 2 manual votin",Twitter,12/7/2012 17:38,J_phyn,,,,,,,
nooooor blackout in parts of eastern region..da devil is a liar!!,Twitter,12/7/2012 17:32,totti_Er_pupone,,,,,,,
Can see people in hurry to see their votes been counted&gt;&gt;&gt;&gt;Ketu South #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 17:37,Enock4seth,,,,,,,
Just walked pass 3 polling stations and counting have been started &gt;&gt;&gt;&gt; #Denu #ketusouth #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 17:32,Enock4seth,,,,,,,
"#Ghanadecides @ghanaelections @GhanaDecides Power out in most of eastern region, dirty tricks.",Twitter,12/7/2012 17:31,GhanaDemocracy,,,,,,,
power outages virtually through out eastern region from 5pm,Twitter,12/7/2012 17:40,KofiGyabaa,,,,,,,
Counting ON&gt;&gt;&gt;&gt;&gt;#ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 17:42,Enock4seth,,,,,,,
@ghanaelections #ghanadecides the Electoral Commission has assured everyone who joined the queue before 5pm of voting b4 polls close,Twitter,12/7/2012 17:45,eliskobah,,,,,,,
Sorting out and counting going on at polling stations across Ghana. #ghanadecides #ghelections,Twitter,12/7/2012 17:44,silverscholar,,,,,,,
"Watching, listening and tweeting...&gt;&gt;&gt;&gt; #ghanadecides #ghanaelections #letsvote",Twitter,12/7/2012 17:46,Enock4seth,,,,,,,
eastern region methodist rimary sch paliamentary ndc -102 npp 246 npp 244 ndc 280,Twitter,12/7/2012 17:48,EvaMandyWalker,,,,,,,
"RT @J_phyn: Dis biometric fin was totally useless.....if da verification machines r nt workin n no provisions were made,den we shd go bc ...",Twitter,12/7/2012 17:49,ATMawuli,,,,,,,
Good and peaceful election in ghana... can someone tell me what's happening ? #ghanaelections  #ghanadecides,Twitter,12/7/2012 17:51,davidaddy60,,,,,,,
"provosional presidential results: Artcentre, Korley Klotey constituency. NDC-262, NPP-279, PPP-2, CPP-1, PNC-1, REJECTED-13 @ghanaelections",Ghana Votes Facebook,12/7/2012 17:54,Ghana Votes,,,,,,,
Watch Hassan Ayariga win this elections. #ghanadecides,Twitter,12/7/2012 18:06,natural_toffee,,,,,,,
Ghana's voting process than.counting of ballot papers on going now #ghanadecides,Twitter,12/7/2012 18:02,thecornisians,,,,,,,
!!!! RT @natural_toffee: Watch Hassan Ayariga win this elections. #ghanadecides,Twitter,12/7/2012 18:08,Prof_Texture,,,,,,,
hoh as for ashanti region NDC will lose roff but in Volta and northern region NPP will lose KPOTORRRRRRR!!,Twitter,12/7/2012 18:09,Kube15,,,,,,,
Counting just thrills #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 18:09,Enock4seth,,,,,,,
"Hahahahaha in his wildest dreams! Lool ""@natural_toffee: Watch Hassan Ayariga win this elections. #ghanadecides""",Twitter,12/7/2012 18:11,MichaelObeng_,,,,,,,
Ei am still in a queue #ghanadecides #ghanaelections,Twitter,12/7/2012 18:13,Nii_logoligi,,,,,,,
@iq4news: Abura Roman polling station voters still voting. #ghanadecides,Twitter,12/7/2012 18:14,kofiemeritus,,,,,,,
Now the eastern region lights are out!!!!,Twitter,12/7/2012 18:15,MAAFO,,,,,,,
"@ghanaelections @Citi973 I don't think you should be listing results. Moreso, these r just single polling statns outta abt 90. #ghanadecides",Twitter,12/7/2012 18:16,ClaudeAyitey,,,,,,,
Last polling station observing machine has been broken since 230pm voters wait patiently in dark for new machine to arrive #ghanadecides,Twitter,12/7/2012 18:17,MBanyaGlobal,,,,,,,Y
The Director of Public affairs of  EC says those areas affected bcos of breakdown of verification machines gets to vote moro #ghanadecides,Twitter,12/7/2012 18:18,DjKoshay,,,,,,,
EC's statement that all voters in the queue before verification machines went down will be allowed to vote tomorrow #ghanadecides,Twitter,12/7/2012 18:18,Enock4seth,,,,,,,
#Ghana erection: Breaking News! Voting tomorrow..in areas where the biometric verification machine did not work... #teaparty,Twitter,12/7/2012 18:19,Schmungle,,,,,,,
"""@Citi973: EC says voting will continue tomorrow to allow disenfranchised Ghana vote @Citifmonline #GHvotes"" #ghanadecides",Twitter,12/7/2012 18:20,ClaudeAyitey,,,,,,,
Ghana is ON&gt;&gt;&gt;&gt;&gt; #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 18:20,Enock4seth,,,,,,,
teamNPP #teamNPP jx won in my const..w8n 4 nationals tho #vim! @NanaAkufo-Addo #Ghanaelections2012 #ghanadecides (cont) http://t.co/htd3sPr0,Twitter,12/7/2012 18:20,iamjaybrizzy,,,,,,,
Breaking News! Voting tomorrow..in areas where the biometric verification machine did not work...,Twitter,12/7/2012 18:21,MrHaglah,,,,,,,
"EC AND ECG, FACILITATE THE VOTE; NPP DEMANDS

The New Patriotic Party (NPP) has observed that for an election which started seven hours late in some polling stations, the EC has a duty to ensure that all qualified voters willing and able to vote are facilitated to cast their votes. 

With polling slated to close at 5pm, hundreds of thousands of Ghana remain stranded in long queues all over the country. The NPP demands that these patriotic Ghana are enabled to vote as per the EC instruction that once a person is in a queue at 5pm, that person must be allowed to vote. 

The NPP is even more worried that in many places all over the ocuntry, the Verification Machines have broken down. Voters are waiting without any information or technical attention. We demand that the EC put all the technical capacity and spare Verification Machines at its command into the field to ensure that the election ends well. 

This election is based on only one standard. NO VERIFICATION NO VOTE. No party will accept manual verification after the fact in the field and where results are purportedly reported without verification, such results should be rejected outright. Hence it is a legitimate and necessary demand that EC deliver verification machines that function if the election is to be deemed up to the ECâ€™s own standard. . 

Late voting and counting makes electrical energy essential. VRA, GRIDCo and ECG promised the entire country power but large pockets of the country remain in the dark. Moreover, we do not have any guarantees that the lights will stay on for the counting phase of the election. 

It is vital that there is electricity because the understanding is that three thousand vigilantes have been mobilised to disrupt the process in the dark. 

ALSO, SOME ELECTORAL OFFICERS ARE THREATENING to take boxes away to count elsewhere. Please, all counting and declaration is done at the polling station in the full glare of the public. All polling station agents should not allow or accept the transportation of ballot boxes anywhere by anybody until after counting and signature of the relevant documentation. 

The EC must warn its officers not to count the uncompleted ballot where people are still in the queue waiting for a verification machine.

The NPP believes the election is capable of passing of fairly and freely if the EC and the ECG live up to their responsibilities to Ghana.   

......signed......
Yaw Buaben Asamoa
NPP Deputy Communications Director",Nana Akufo Addo Facebook,12/7/2012 18:20,Nana Addo Dankwa Akufo-Addo,,,,,,,
Its almost ma turn #ghanaelections #ghanadecides,Twitter,12/7/2012 18:21,Nii_logoligi,,,,,,,
Clarification to last tweet: Voting continues tomorrow *only* in areas where verification machines stopped working. #ghanadecides,Twitter,12/7/2012 18:21,obaasima,,,,,,,
Some senior members of the NDC at the conference room of the Electoral Commission. #ghanadecides #ghanaelections http://t.co/mZiZyj21,Twitter,12/9/2012 18:30,omgGhanaDotCom,,,,,,,
Wer wld da ballots be kept if voting wld continue 2moro at places wer machines broke down? #ghanadecides #elections2012,Twitter,12/7/2012 18:22,Paapakwame,,,,,,,
2012 Ghana elections who is who?&gt;&gt; #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 18:22,Enock4seth,,,,,,,
The tym has come oooooo #elections2012 #ghanadecides @JohnDramaniMahama @NanaAkufo-Addo,Twitter,12/7/2012 17:59,Paapakwame,,,,,,,
Counting has begun in several polling stations across the country. #ghanadecides,Twitter,12/7/2012 18:17,omgGhanaDotCom,,,,,,,
ec to allow votin in polling stations that had problems with the verification machines tomorrow #ghanadecides,Twitter,12/7/2012 18:27,akw_asi,,,,,,,
Two days of elections...... ha! #ghanadecides,Twitter,12/7/2012 18:27,Krobies,,,,,,,
"( not verified) Asuogyaman Akrade polling station south senchi presidential, NDC. 1087 NPP. 76 #exitpolls #ghanadecides",Twitter,12/7/2012 18:28,Abumubarik,,,,,,,
"Why do I v a wierd feeling abt Ashanti results trickling in early... what abt Volta, B.A and the northern regions. No last minute magic!",Twitter,12/7/2012 18:28,wazza_ajayman,,,,,,,
Voting situation at the Dzorwulu Open Space 138 polling station at Ayawaso West Wuogon Constituency #ghanadecides http://t.co/d0Rcgz3a,Twitter,12/7/2012 18:29,gamelmag,,,,,,,
"RT @Master__Bruce: ""@jaysly1: â€œ@Master__Bruce: They are probably stuffing the ballot boxes somewhere in the Volta region.â€today ur talki ...",Twitter,12/7/2012 18:39,ManLike_Brian,,,,,,,
RT @newsontv3: EC says voting will take place tomorrow in certain areas where the biometric verification machines experienced major problems,Twitter,12/7/2012 18:39,Popawyse,,,,,,,
Voting extended till tomorrow due to problems with verification machines according to the BBC. #ghanadecides,Twitter,12/7/2012 18:41,IamKarifala,,,,,,,
Ketu south results..........#loading.........#ghanadecides #ghanaelections,Twitter,12/7/2012 18:42,Enock4seth,,,,,,,
2% battery life left but will wait for the counting #ghanaelections #ghanadecides,Twitter,12/7/2012 18:37,Nii_logoligi,,,,,,,
On my minds eye: Why cant #ghanaelections be a normal event? Why so much distrust? #ghanadecides Cool heads must prevail.  #1Ghana,Twitter,12/9/2012 18:39,Mensahba,,,,,,,
@Mr_grilz me to i dey chock ashanti then eastern region,Twitter,12/7/2012 18:44,Baby_Scratches,,,,,,,
"Those of you who are stealing the ballot boxes, thank your stars that you are in Ghana and not Allu.",Twitter,12/7/2012 18:45,AfiaStunna,,,,,,,
"""@jaysly1: â€œ@Master__Bruce: They are probably stuffing the ballot boxes somewhere in the Volta region.â€today ur talking sense"" lol!",Twitter,12/7/2012 18:36,Master__Bruce,,,,,,,
"provisional result, presidential, art centre polling st, Korle Klottey  NDC 262, NPP 279, PPP 2, PNC 1, CPP 1 30 rejected  #ghanaelections",Twitter,12/7/2012 18:51,AbaAmuah,,,,,,,Y
Update from eastern region. Coming up soon #stillCounting #GHANADECIDES,Twitter,12/7/2012 18:34,omgGhanaDotCom,,,,,,,
EC says voting will take place tomorrow in certain areas where the biometric verification machines experienced major problems,Twitter,12/7/2012 18:37,newsontv3,,,,,,,
â€œ@Master__Bruce: They are probably stuffing the ballot boxes somewhere in the Volta region.â€today ur talking sense,Twitter,12/7/2012 18:33,jaysly1,,,,,,,
@bbcafricahys @kenyanpundit Voting wl continue tomoro in areas where the verification machine has broken down. #ghanadecides,Twitter,12/7/2012 18:55,KKmarfo,,,,,,,
"""@akwasisarpong: #Ghana election: Breaking News! Voting tomorrow..in areas where the biometric verification machine did not work...""",Twitter,12/7/2012 18:56,spyasamy,,,,,,,
They are probably stuffing the ballot boxes somewhere in the Volta region.,Twitter,12/7/2012 18:31,Master__Bruce,,,,,,,
Voting tomorrow.. in areas where the biometric verification machine did not work...,Twitter,12/7/2012 18:57,Freddie_GH,,,,,,,
General light off in the  eastern region what's happening #ECG,Twitter,12/7/2012 18:59,EPTON_233,,,,,,,
People in queue still insisting to vote #ghanadecides #ghanaelections,Twitter,12/7/2012 18:38,Enock4seth,,,,,,,
RT @EPTON_233: General light off in the eastern region what's happening #ECG,Twitter,12/7/2012 18:59,kodart_,,,,,,,
The Peace Council is meeting with both political parties (NDC and NPP) @ the EC Office #ghanadecides #ghanaelections,Twitter,12/9/2012 18:46,omgGhanaDotCom,,,,,,,
"lights are off in the eastern region, theres sumfin fishy going on",Twitter,12/7/2012 19:01,hayzee6,,,,,,,
"""@newsontv3: EC says voting will take place tomorrow in certain areas where the biometric verification machines experienced major problems""",Twitter,12/7/2012 18:38,Kwatontoh,,,,,,,
"Loving the results that are coming out- we beg let err1 vote continually!this is ghana,thngs would change by tomorrow we beg!",Twitter,12/7/2012 19:02,MizzNyla13,,,,,,,
