report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,Relevant
I sure say woyome get rep for the strong room p333.. The elections dey hia am pass akufoNanaAkufo-Addo n JohnDramaniMahama sef #ghanadecides,Twitter,12/8/12 19:52,GeorginhoGunner,,,,,,,
"certified results from EC , frm 24 constituency, NDC-32.57% and NPP-39.76%.# RFI #ghanaelections #ghanadecides.",Twitter,12/8/12 19:58,windowtograce,,,,,,,
Ghana elections still far away from knowing a clear winner. Npp all the way #ghanadecides,Twitter,12/8/12 20:01,hassahakuffo,,,,,,,
Oosey!! Nana in the lead has captured 27 seats out of 30 declared so far in the ashanti region,Twitter,12/8/12 20:03,Alhaji_pollo,,,,,,,
"The Independent candidate contesting the December general elections,Jacob Osei Yeboah has conceded defeat #ghanadecides",Twitter,12/8/12 20:03,Abumubarik,,,,,,,
dose ndc devils hv turned off d light at kasoa!!!! We will stand by d ballot boxes till kingdom comes! #siaaafo),Twitter,12/8/12 20:38,e_M_A_y69,ignored,Power Outage (Kasoa),Power Out,yes,Kasoa,"by: Sarsah 22:01
After re-tweeting the sender for further info about the claimed outage,there's been no reply after hour of trying .",
"Confirmed: @JohnDramaniMahama leading with 49.83% (3,162,751 Votes) to 48.68%, collated from 168 constituencies. #NDC2012 JohnDramaniMahama2012",Twitter,12/8/12 20:15,OfficialNDCGh,,,,,,,
Samia nkrumah lost her seat? To which party? Its sad that no one will represent the cpp in parliament,Twitter,12/8/12 20:19,CuttieSena,,,,,,,
"Confirmed: @JohnDramaniMahama leading with 49.83% (3,162,751 Votes) to 48.68%, collated from 168 constituencies. #NDC2012 JohnDramaniMahama2012 #ghanadecides",Twitter,12/8/12 20:21,DaronBandeira,,,,,,,
"who did u vote for????""@CuttieSena Samia nkrumah lost her seat? To which party? Its sad that no one will represent the cpp in parliament""",Twitter,12/8/12 20:21,KINGPILAS,,,,,,,
@ms_mojoojojo how many seats have NPP taken in the northern regions?,Twitter,12/8/12 20:22,ThatDudeRichie,,,,,,,
"NDC ""@CuttieSena: Samia nkrumah lost her seat? To which party? Its sad that no one will represent the cpp in parliament""",Twitter,12/8/12 20:22,Cpt_Tintin,,,,,,,
NDC does not have the numbers to win this - Sir John #ghanadecides #ghanaelections,Twitter,12/8/12 20:23,bigxghdotcom,,,,,,,
To da NDC RT @CuttieSena: Samia nkrumah lost her seat? To which party? Its sad that no one will represent the cpp in parliament,Twitter,12/8/12 20:23,kobby_sylk,,,,,,,
"Confirmed: NDC leading with 49.83% (3,162,751 Votes) to 48.68%, collated from 168 constituencies.",Twitter,12/8/12 20:24,Sammysmyles_233,,,,,,,
#ghanadecides i feel sorry for the other parties. Not even parliamentary seats!,Twitter,12/8/12 20:27,byWSDM,,,,,,,
I never imagined the most important thing in my life would be #ghanaelections #jobhazard #ghanadecides,Twitter,12/8/12 20:28,edengeneet,,,,,,,
We urge all our [NPP] supporters to wear white tomorrow because we are sure of victory - Sir John #ghanadecides #ghanaelections,Twitter,12/8/12 20:28,bigxghdotcom,,,,,,,
#NDC position on #ghanaelections caution #NPP about claiming victory before final results @JohnDramaniMahama @NanaAkufo-Addo,Twitter,12/8/12 20:30,ghanaelections,,,,,,,
"NPP WINS PANDAI SEAT, (northern region)",Twitter,12/8/12 20:31,kofi_money,,,,,,,
"Chale de northern region wossop RT@donlitmus: NPP are just jumping from one allegation to another â€¦.""",Twitter,12/8/12 20:34,credo_ehornam,,,,,,,
"more claims of victory expected from #NPP and #NDC  expected until final results are declare, stay with #ghanaelections @Africanelection",Twitter,12/8/12 20:34,ghanaelections,,,,,,,
The #NPP increases seats in northern region frm 3 to 10  #Ghanadecides,Twitter,12/8/12 20:35,Fhresh_matic,,,,,,,
"16 more to go â€œ@credo_ehornam: Chale de northern region wossop RT@donlitmus: NPP are just jumping from one allegation to another â€¦.""â€",Twitter,12/8/12 20:36,donlitmus,,,,,,,
"Rydii u dey pri north""@credo_ehornam: Chale de northern region wossop RT@donlitmus: NPP are just jumping from one allegation to another â€¦.""""",Twitter,12/8/12 20:36,SweetCobby,,,,,,,
@GhanaSMTC @ghanaelections The EC has removed some results from its website. http://t.co/HhIPkjg0 #GhanaElections #GhanaDecides,Twitter,12/8/12 20:39,Chxta,,,,,,,
"""@e_M_A_y69: dose ndc devils hv turned off d light at kasoa!!!! We will stand by d ballot boxes till kingdom comes! #siaaafo)""hahaha",Twitter,12/8/12 20:39,Boss_Tweiks,,,,,,,
"urge all our [NPP] supporters to wear white tomorrow because we are sure of victory - Sir John #ghanadecides #ghanaelections""",Twitter,12/8/12 20:39,AllBlaqk,,,,,,,
"NDC does not have the numbers to win this - Sir John #ghanadecides #ghanaelections""",Twitter,12/8/12 20:42,AllBlaqk,,,,,,,
Chieftancy minister who lost his seat in B/A is not DEAD! #ghanadecides #ghanaelections,Twitter,12/8/12 20:42,omgGhanaDotCom,,,,,,,
#IDEG-CFI urging #EC and pol. parties to act responsibly #ghanaelections #ghanadecides http://t.co/3M9Nx84H,Twitter,12/8/12 20:43,IDEGGhana,,,,,,,
Don't they write good English again? â€œ@mofesola_: @ghanaelections: #npp asked people to stay vigilance and patience for final #results,Twitter,12/8/12 20:44,Yincar,,,,,,,
Sup peeps!!!! Hws d ghana election going!!! Hp its nt d naijerian format of stealing ballot boxes,Twitter,12/8/12 20:45,uxtoden,,,,,,,
As of 8.45PM..177 constituencies have been reported with JohnDramaniMahama (49.43%) NPP (49.11%) #ghanadecides #ghanaelections,Twitter,12/8/12 20:46,omgGhanaDotCom,,,,,,,
"((((Gbagaun))))from accra,ghana @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 20:46,mofesola_,,,,,,,
"Provisional Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882 (51.14%) and the NDC has 2,361,799 (45.39%).",Twitter,12/8/12 20:48,kaessuman,,,,,,,
((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results,Twitter,12/8/12 20:48,GRAMMARPo_oLICE,,,,,,,
"Lool RT ""@GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 20:49,TaherMcpoyeez,,,,,,,
"Lmao ""@GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 20:49,TheFaculty__,,,,,,,
Lol RT @e_M_A_y69: dose ndc devils hv turned off d light at kasoa!!!! We will stand by d ballot boxes till kingdom comes! #siaaafo),Twitter,12/8/12 20:49,adwoaosafo,,,,,,,
"â€œ@kaessuman Provisional Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882 ... http://t.co/pOWxh2PO",Twitter,12/8/12 20:50,nana_topen1,,,,,,,
"Lwkmd""@GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 20:51,Nero_Rhymes,,,,,,,
O_O! Am vigilant RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results  #ghanelections #ghana #ndc #fax,Twitter,12/8/12 20:52,kailani_xii,,,,,,,
"Confirmed? RT @kaessuman:  5,202,966 votes collated from 183 constituencies,the NPP has 2,660,882 (51.14%) and the NDC has 2,361,799(45.39%)",Twitter,12/8/12 20:53,Da_boyKing,,,,,,,
"""@GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 20:54,cpt_Travis,,,,,,,
Looking to book some gigs in the north eastern region of the us. contact us at astrokineticband@gmail.com https://t.co/gYMHj8uH,Twitter,12/8/12 20:54,RomeoHarpMusic,,,,,,,
*facepalm* RT @GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results,Twitter,12/8/12 20:55,Miss_Nawtie,,,,,,,
Kilode? RT @GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results,Twitter,12/8/12 20:56,pwinc_femi,,,,,,,
"Peacefmonline reports provisional results for 136 constituencies, NDC has won 70 seats while NPP has 60 seats #ghanaelections",Twitter,12/8/12 20:59,ghanaelections,,,,,,,
"Npp winin der to bro. 11 seats ""@tECh_aSHAWo: northern region and upper west no come in chaley... keep calm""",Twitter,12/8/12 20:59,miki_brix,,,,,,,
@el_mejot @guydroopy oh northern region go neutralize both Eastern and the few votes from Ashanti.,Twitter,12/8/12 21:03,Kofibadu1,,,,,,,
"Provisional results from etv on 177 constituencies, NDC - 49.43%; NPP - 49.11% #ghanaelections",Twitter,12/8/12 21:03,ghanaelections,,,,,,,
"@kuukuvich Prov Results of 5,202,966 votes collated from 183 constituencies,the NPP has 2,660,882 (51.14%)and the NDC has 2,361,799 (45.39%)",Twitter,12/8/12 21:05,CharlesKDon,,,,,,,
"Provisional Results of 5,202,966 votes collated from 183 constituencies,Â­ the NPP has 2,660,882 (51.14%) and the NDC has 2,361,799 (45.39%).",Twitter,12/8/12 21:06,KallyBlaze,,,,,,,
"Following elections on joynews, in Accra. That Dr. Amoah guy is talking gibberish.#ghanadecides",Twitter,12/8/12 21:05,acedrive2000,,,,,,,
"Ok I hear RT @CharlesKDon: @kuukuvich Prov Results of 5,202,966 votes collated from 183 constituencies,the NPP ... http://t.co/gl0qbyNl",Twitter,12/8/12 21:07,kuukuvich,,,,,,,
"Source pls??""@kaessuman: Provisional Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882 (51.14%) and the",Twitter,12/8/12 21:08,DonClyt,,,,,,,
MTN micheal teye nyaunu loses p)t)). Deputy eastern regional minister takes it for lower manya krobo #GHVOTES #GhanaDecides,Twitter,12/8/12 21:12,adwoa_gyanowa,,,,,,,
"As of 9.11PMâ€¦Parliamentary NDC (87) ,NPP (80),  PNC (1), INDIE (2) #ghanadecides #ghanaelections",Twitter,12/8/12 21:13,omgGhanaDotCom,,,,,,,
"""@e_M_A_y69: dose ndc devils hv turned off d light at kasoa!!!! We will stand by d ballot boxes till kingdom comes! #siaaafo)""~easy bruh..",Twitter,12/8/12 21:13,elawags,,,,,,,
#tweetyourfear Whats there to be scared of. Why go through life being scared when the outcome will always be the same. We all die in the end,Twitter,12/10/12 3:27,So_Far_Ron,,,,,,,
Electoral Commission of Ghana (E.C) have certified 24/275Constituencies  results!!! #ghanadecides #ghanaelections http://t.co/xvxMKkUp,Twitter,12/8/12 21:16,omgGhanaDotCom,,,,,,,
"As of 9.11PMâ€¦Parliamentary NDC (87) ,NPP (80), PNC (1), INDIE (2) #ghanadecides #ghanaelections",Twitter,12/8/12 21:15,onua_zionfelix,,,,,,,
Electoral Commission of Ghana (E.C) have certified 24/275Constituencies !!! #ghanadecides #ghanaelections http://t.co/RwMo1gb9,Twitter,12/8/12 21:16,bigxghdotcom,,,,,,,
"As of 9.11PMâ€¦Parliamentary NDC (87) ,NPP (80), PNC (1), INDIE (2) #ghanadecides #ghanaelections""",Twitter,12/8/12 21:16,lilbenjy,,,,,,,
"""@ghanaelections: Provisional results from etv on 177 constituencies, NDC - 49.43%; NPP - 49.11% #ghanaelections""",Twitter,12/8/12 21:18,Kwadwogyabaah,,,,,,,
"!!!! RT""@GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 21:18,Mj_Mensah,,,,,,,
"""@bigxghdotcom: As of 9.11PMâ€¦Parliamentary NDC (87) ,NPP (80), PNC (1), INDIE (2) #ghanadecides #ghanaelections""",Twitter,12/8/12 21:18,brakwamekinino,,,,,,,
"Wow! Close RT @ghanaelections: Provisional results from etv on 177 constituencies, NDC - 49.43%; NPP - 49.11% #ghanaelections @EthanZ",Twitter,12/8/12 21:18,wayan_vota,,,,,,,
"@ghanaelections http://t.co/NAUsQMmk, EC has 53 certified results on its website. NDC 39.75 NPP 45.09",Twitter,12/8/12 21:23,solomonnyamekye,,,,,,,
@Citi973 please i wud lyk to know how many seats npp had in 2008 and how many they hav so far this yr in de 3 northern region pls respnd pls,Twitter,12/8/12 21:25,MarheyM,,,,,,,
"@ghanaelections http://t.co/NAUsQMmk , EC has 53 certified results on its website. NDC 39.75 NPP 45.09 Expand      Reply",Twitter,12/8/12 21:28,solomonnyamekye,,,,,,,
"RT @GHANANPP: Provisional Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882 (51.14%) and the NDC has 2, ...",Twitter,12/8/12 21:34,Qwesylexys,ignored,Another presidential result,Results,yes,Accra,"Check to see if its being certified.
source is biased
samuel D.",
"Gh people:(""@GRAMMARPo_oLICE: ((( AZONTO!!! ))) RT @ghanaelections: #npp asked people to stay vigilance and patience for final #results""",Twitter,12/8/12 21:31,jaymeszzxxx,,,,,,,
"Saw the man on my avater as observer in Ghana election, surprisingly, the biometric machines are not working. Hope its not what am thinking?",Twitter,12/8/12 21:32,otunbasegebam,,,,,,,Y
"Extremely tight election  RT @ghanaelections: Provisional results from etv on 177 constituencies, NDC - 49.43%; NPP - 49.11% #ghanaelections",Twitter,12/8/12 21:33,Pre_Nup,,,,,,,
Lake Taylor wins. The eastern region needs to be its own classification lol.,Twitter,12/8/12 21:36,bbrletich910,,,,,,,
"Provisional Results of 5,202,966 votes collated from 183 constituencies out of 275, the NPP has 2,660,882... http://t.co/FrzAK9On",Twitter,12/8/12 21:42,kofi_money,,,,,,,
"Most constituencies in the three northern regions, 2 constituencies in Volta. Vim dey #NDC",Twitter,12/8/12 21:44,Boys_Kasa,,,,,,,
"Another squeaker in #Ghana! RT @ghanaelections: Provisional results from etv on 177 constituencies, NDC: 49.43%; NPP: 49.11% #ghanaelections",Twitter,12/8/12 21:45,McAndrew,,,,,,,
"Provisional Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882 (51.14%) and the... http://t.co/dB9OV4hd",Twitter,12/8/12 21:50,francist7867,,,,,,,
"Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882 51.14% and the NDC has 2,361,799 45.39%""@Alex_Binger",Twitter,12/8/12 21:53,TuffourJR,,,,,,,
"#Ghana Pesidential results #ghanaelections 2012 NDC 49.36%,NPP 49.16% OTHERS 1.45% 181 of 275Constituencies ,neck to neck too close to call",Twitter,12/8/12 21:54,ghanaelections,,,,,,,
"#Ghana Pesidential results#ghanaelections 2012 NDC 49.36%,NPP 49.16% OTHERS 1.45% 181 of 275Constituencies ,neck to neck too close to call""",Twitter,12/8/12 22:00,Kwadwogyabaah,,,,,,,
@kali_snook I'll give it to you at the banquet or something because she ordered the ones of us at eastern region too so I'll give you both(:,Twitter,12/8/12 22:05,Katie_Gaynor,,,,,,,
"According to GTV, NDC is leading. And they've only announced two out of the thirty something results from the northern region...trouble",Twitter,12/8/12 22:09,_adjeiwa_,,,,,,,
#Ghana RT @ghanaelections: Parliamentary results from 170 const: NDC - 87; NPP - 80. Source: Myjoyonline,Twitter,12/8/12 22:10,mashanubian,,,,,,,
EXCLUSIVE - #ghanaelections low turnover at Volta Region strong hold of #NDC with high percentage of spoilt ballots #ghana #ghanadecides,Twitter,12/8/12 22:11,ghanaelections,,,,,,,
"If the NPP managed to get these figures in the northern region,then we all know who's winning.Well done,NPP.",Twitter,12/8/12 22:11,PrynzJnr,,,,,,,
"@GHANANPP: Provisional Results of 5,202,966 votes collated from 183 constituencies, the NPP has 2,660,882... http://t.co/COI3LFQC",Twitter,12/8/12 22:13,bkod4,,,,,,,
": EXCLUSIVE - #ghanaelections low turnover at Volta Region strong hold of #NDC with high percentage of spoilt ballots #ghana #ghanadecides""",Twitter,12/8/12 22:13,Kwadwogyabaah,,,,,,,
How many constituencies certified so far? @ghanadecides #ghanaelections2012 #ghana,Twitter,12/8/12 22:15,thePOEET,,,,,,,
@thePOEET @ghanadecides 195 so far from #ghanaelections2012 and only 1.5% separates JDM and Nana! Tense times!,Twitter,12/8/12 22:32,alha06,,,,,,,
"@alha06 @ghanadecides thanks Taal, u r really ""current"" #ghanaelections2012 #Ghana",Twitter,12/8/12 22:34,thePOEET,,,,,,,
#npp doing quite well in the northern region....interesting.,Twitter,12/8/12 22:43,NkrumahEben,,,,,,,
all #rejectedballots come to me #ghanadecides #ghanaelections.,Twitter,12/8/12 22:43,AtheistGhanaian,,,,,,,
#Ghana #presidential #results based on 193 constituencies out of 275Constituencies NDC49.95% NPP48.56% OTHERS 1.49% #ghanaelections,Twitter,12/8/12 22:50,ghanaelections,,,,,,,
201 constituencies out of 275Constituencies   JohnDramaniMahama: 49.85%  NanaAkufo-Addo: 48.61% source: joy TV #ghanadecides #ghanaelections,Twitter,12/8/12 22:55,bigxghdotcom,,,,,,,
The National Peace calls on all parties and individual to exercise restraint in declaring premature results@ghanaelections@GhanaDecides,Twitter,12/8/12 23:34,Lamisi_d,ignored,National Peace Council Press Conference,Results,yes,Accra,"Peace Council press conference on NPP election declaration.

Kelldick 11: 37pm 

Jonathan 23:40pm",
"N/R Bunkpurugu: NDC (9904) , NPP (3,990)  #ghanadecides #ghanaelections",Twitter,12/8/12 23:09,omgGhanaDotCom,,,,,,,
NDC responds to NPP press conference http://t.co/4XRxRbz6 #ghanaelections #ghanadecides @ghanaelections @GhanaSMTC,Twitter,12/8/12 23:10,therealkaygee,,,,,,,
EC website jst went down due to excessive traffic! Seriously? Myjoyonline has gargantuan traffic nd dey r still UP! smh #ghanadecides,Twitter,12/8/12 23:12,Paapakwame,,,,,,,
"1st Lady, 2nd youth, 1st junior girl and 1st in the eastern region with the Rutland raiders:D not a bad year! :D",Twitter,12/8/12 23:15,L_o_ri,,,,,,,
u dont go and study for ur exams and keep watching election results.#knust #ghanadecides #ghanaelections.,Twitter,12/8/12 23:20,AtheistGhanaian,,,,,,,
#ghanaelections #results from NDC stronghold @Volta region all in 26 out of 26 #ghana #elections #votes #ghanadecides #win,Ghana Votes Facebook,12/8/12 23:23,Ghana Votes,,,,,,,
Da only radio station in GH tht does nt care abt da elections is Atlantics Radio... lol... #ghanadecides,Twitter,12/8/12 23:24,Paapakwame,,,,,,,
#NPP stronghold of Ashanti Region 40 out of 47 #results in #ghana #ghanaelections #NDC @JohnDramaniMahama @NanaAkufo-Addo #EC #ghanavotes,Twitter,12/8/12 23:24,ghanaelections,,,,,,,
205 constituencies out of 275Constituencies NDC 49.94% and NPP 48.50% #ghanaelections #results #votes #ghana #NDC #NPP #ghanadecides @Africanelection,Twitter,12/8/12 23:27,ghanaelections,,,,,,,
